,Artist,Name,date,price,comments,repeat_sale
158,Willem de Kooning,Untitled VIII,11.12.2013 ,"32,085,000 ", ,0
159,Pablo Picasso,Les femmes d′Alger,11.10.1997 ,"31,902,500 ","Version O"" ",0
160,Roy Lichtenstein,Seductive Girl,11.12.2013 ,"31,525,000 ", ,0
161,Pablo Picasso,Le sauvetage,05.07.2014 ,"31,525,000 ", ,1
162,Andy Warhol,Liz #3,11.11.2014 ,"31,525,000 ",Early colored Liz ,0
163,,Abstraktes Bild,11.12.2014 ,"31,525,000 ",648-3 ,0
164,Mark Rothko,Untitled,05.12.2010 ,"31,442,500 ", ,1
165,Clyfford Still,1947-Y-No. 2,11.09.2011 ,"31,442,500 ", ,0
166,Gustav Klimt,Houses at Unterach on the Attersee,11.08.2006 ,"31,376,000 ", ,0
167,Amedeo Modigliani,Jeanne Hébuterne,11.04.2004 ,"31,368,000 ",Devant une porte ,0
168,Amedeo Modigliani,Le Fils du concierge,11.07.2006 ,"31,096,000 ", ,1
169,Pablo Picasso,Mousquetaire à la pipe,11.06.2013 ,"30,965,000 ", ,0
170,Amedeo Modigliani,Portrait du sculpteur Oscar Miestchaninoff,11.06.2007 ,"30,841,000 ", ,1
171,Pablo Picasso,Femme accroupie au costume turc,11.06.2007 ,"30,841,000 ",Jacqueline ,1
172,Edvard Munch,Girls on a Bridge,05.07.2008 ,"30,841,000 ", ,1
173,Claude Monet,Le Palais Contarini,06.19.2013 ,"30,836,572 ", ,1
174,Ed Ruscha,Smash,11.12.2014 ,"30,405,000 ", ,0
175,Henry Moore,Reclining Figure: Festival,02.07.2012 ,"30,127,386 ", ,1
176,Andy Warhol,Six self portraits,05.14.2014 ,"30,125,000 ", ,0
177,Cy Twombly,Untitled,02.11.2015 ,"29,988,256 ",New York ,1
178,Johannes (van Delft) Vermeer,A young woman seated at the virginals,07.07.2004 ,"29,934,770 ", ,0
179,Francis Bacon,Untitled,11.13.2012 ,"29,762,500 ",Pope ,0
180,Gino Severini,Danseuse,06.25.2008 ,"29,600,370 ", ,0
181,Paul Cézanne,Bouilloire et fruits,12.07.1999 ,"29,466,720 ", ,0
182,Jean-Michel Basquiat,Untitled,11.12.2013 ,"29,285,000 ", ,1
183,,Abstraktes Bild,05.13.2014 ,"29,285,000 ",712 ,1
184,Willem de Kooning,Clamdigger,11.12.2014 ,"29,285,000 ", ,0
185,Sir Lawrence Alma-Tadema,The meeting of Antony and Cleopatra: 41 BC,05.05.2011 ,"29,202,500 ", ,1
186,Pablo Picasso,Femme assise dans un fauteuil,05.02.2012 ,"29,202,500 ", ,0
187,Pablo Picasso,Tête de Femme,11.07.2007 ,"29,161,000 ",Dora Maar ,0
188,Gustav Klimt,Landhaus am Attersee,11.05.2003 ,"29,128,000 ", ,0
189,Pablo Picasso,"Femme assise, robe bleue",06.21.2011 ,"29,043,342 ", ,0
190,Jean-Michel Basquiat,Untitled,06.25.2013 ,"28,888,188 ",diptych ,1
191,,Blau,05.14.2014 ,"28,725,000 ", ,1
192,Rembrandt Harmensz van Rijn,"Portrait of a lady, aged 62, perhaps Aeltje Pietersdr. Uylenburgh, wife of Johannes Cornelisz. Sylvius, half-length, in black costume and a cap and collar",12.13.2000 ,"28,676,152 ", ,0
193,,Wand,02.12.2014 ,"28,663,260 ",Wall ,0
194,Francis Bacon,Study for a portrait,06.28.2011 ,"28,660,766 ", ,0
195,Henri Matisse,Bouquet de fleurs pour le quatorze juillet,05.05.2010 ,"28,642,500 ", ,0
196,Jasper Johns,Flag,05.11.2010 ,"28,642,500 ", ,0
197,Juan Gris,Violon et guitare,11.03.2010 ,"28,642,500 ", ,0
198,Paul Cézanne,Nature Morte: Les grosses pommes,05.11.1993 ,"28,602,500 ", ,0
199,Andrea Mantegna,Descent into Limbo,01.23.2003 ,"28,568,000 ", ,0
200,Pablo Picasso,Claude et Paloma,11.04.2013 ,"28,165,000 ", ,0
201,Jeff Koons,Popeye,05.14.2014 ,"28,165,000 ", ,0
202,Roy Lichtenstein,Nude with Red Shirt,11.14.2012 ,"28,082,500 ", ,0
203,Francis Bacon,Three Studies for Self-Portrait,05.13.2008 ,"28,041,000 ", ,1
204,Andy Warhol,Lemon Marilyn,05.16.2007 ,"28,040,000 ", ,0
205,Jean Honoré Fragonard,"Portrait of François-Henri, 5th duc d′Harcourt",12.05.2013 ,"28,015,316 ", ,0
206,Adriaen de Vries,A Bronze Bacchic Figure Supporting The Globe,12.11.2014 ,"27,885,000 ", ,0
207,Gustav Klimt,"Frauenbildnis, portrait of Ria Munk III",06.23.2010 ,"27,786,368 ", ,0
208,George Wesley Bellows,Polo Crowd,12.01.1999 ,"27,702,500 ", ,0
209,Piet Mondrian,"Composition avec bleu, rouge, jaune et noir",02.23.2009 ,"27,666,556 ", ,0
210,Pablo Picasso,Femme au costume turc dans un fauteuil,02.04.2014 ,"27,653,536 ", ,0
211,Francis Bacon,Study for Portrait II,02.08.2007 ,"27,627,812 ", ,0
212,Vincent van Gogh,L′homme est en mer,02.05.2014 ,"27,531,980 ", ,1
213,Andy Warhol,Self-portrait,05.11.2011 ,"27,522,500 ", ,0
214,Alberto Giacometti,Grande femme debout II,05.06.2008 ,"27,481,000 ", ,1
215,Constantin Brancusi,Oiseau dans l′espace,05.04.2005 ,"27,456,000 ", ,0
216,Francis Bacon,Study for Head of George Dyer,07.01.2008 ,"27,433,052 ", ,0
217,Willem de Kooning,Untitled XXV,11.15.2006 ,"27,120,000 ", ,0
218,Claude Monet,Nymphéas,05.06.2014 ,"27,045,000 ", ,0
219,Mark Rothko,Untitled,05.15.2013 ,"27,003,750 ",Black on Maroon ,0
220,Andy Warhol,Liz no.5,05.12.2011 ,"26,962,500 ",Early colored Liz ,0
221,Vincent van Gogh,Sous-bois,11.08.1995 ,"26,952,500 ", ,0
222,Mark Rothko,Untitled,05.16.2007 ,"26,920,000 ", ,0
223,Edward Hopper,Hotel Window,11.29.2006 ,"26,896,000 ", ,1
224,Amedeo Modigliani,Nu couché,11.04.2003 ,"26,887,500 ",sur le côté gauche ,0
225,Joan Miró,Painting-Poem,02.07.2012 ,"26,590,650 ",Le corps de ma brune puisque je l′aime comme ma chatte habillée en vert salade comme de la grêle c′est pareil ,1
226,Christopher Wool,Apocalypse Now,11.12.2013 ,"26,485,000 ", ,0
227,,A.B. Courbet,11.13.2013 ,"26,485,000 ", ,0
228,Franz Kline,King Oliver,11.12.2014 ,"26,485,000 ", ,0
229,Edgar Degas,Danseuses à la barre,06.24.2008 ,"26,421,902 ", ,1
230,Jean-Michel Basquiat,Untitled,11.14.2012 ,"26,402,500 ", ,1
231,Edouard Manet,La rue Mosnier aux drapeaux,11.14.1989 ,"26,400,000 ", ,0
232,Vincent van Gogh,Autoportrait,05.15.1990 ,"26,400,000 ", ,0
233,Edouard Manet,Les Courses au Bois de Boulogne,05.05.2004 ,"26,328,000 ", ,0
234,Amedeo Modigliani,L′Amazone,05.07.2013 ,"25,925,000 ", ,0
235,Jean-Michel Basquiat,Untitled,11.13.2013 ,"25,925,000 ",Yellow tar and feathers ,0
236,Alexander Calder,Poisson volant,05.13.2014 ,"25,925,000 ",Flying Fish ,0
237,Jeff Koons,Balloon Monkey,11.12.2014 ,"25,925,000 ",Orange ,0
238,Philip Guston,To Fellini,05.15.2013 ,"25,883,750 ", ,0
239,Piet Mondrian,"Composition with red, blue and grey",06.23.2014 ,"25,870,094 ", ,0
240,Alberto Giacometti,La main,05.04.2010 ,"25,842,500 ", ,0
241,Ren Yi,Huafeng people′s wishes to Emperor Yao,07.16.2011 ,"25,804,704 ", ,0
242,Rembrandt Harmensz van Rijn,Saint James the Greater,01.25.2007 ,"25,800,000 ", ,0
243,Jeff Koons,Balloon Flower,06.30.2008 ,"25,783,062 ",Magenta ,0
244,Paul Cézanne,Nature morte au melon vert,05.08.2007 ,"25,520,000 ", ,1
245,Francis Bacon,Self-portrait,05.11.2011 ,"25,282,500 ",studytriptych ,0
246,Willem de Kooning,Untitled V,11.13.2013 ,"24,805,000 ", ,0
247,Pablo Picasso,Femme assise dans un fauteuil,11.10.1997 ,"24,752,500 ",Eva ,0
248,Pablo Picasso,Maternité,11.14.1988 ,"24,750,000 ", ,0
249,Claude Monet,Le bassin aux nymphéas,11.02.2010 ,"24,722,500 ", ,1
250,Francis Bacon,Seated Woman,12.12.2007 ,"24,556,844 ",Portrait of Muriel Belcher ,0
251,Zhang Daqian,Lotus and Mandarin ducks,05.31.2011 ,"24,551,210 ", ,0
252,Jean Antoine Watteau,La Surprise: A couple embracing while a figure dressed as Mezzetin tunes a guitar,07.08.2008 ,"24,417,178 ", ,0
253,Franz Marc,Weidende Pferde III,02.05.2008 ,"24,326,828 ",Grazing Horses III ,0
254,Claude Monet,Le portail,05.10.2000 ,"24,205,750 ",Soleil ,0
255,Paul Gauguin,Mata Mua,05.09.1989 ,"24,200,000 ",in olden times ,0
256,André Derain,Arbres à Collioure,06.22.2010 ,"24,156,490 ", ,0
257,,Vierwaldstätter See,02.11.2015 ,"24,015,744 ",Lake Lucerne ,0
258,Pablo Picasso,Nu au collier,06.25.2002 ,"23,944,552 ", ,0
259,Andy Warhol,Big Campbell′s soup can with can opener,11.10.2010 ,"23,882,500 ",Vegetable ,1
260,Henri Matisse,Odalisque au fauteuil noir,02.03.2015 ,"23,830,560 ", ,1
261,Pablo Picasso,Les Tuileries,06.25.1990 ,"23,821,898 ", ,0
262,David Smith,Cubi XXVIII,11.09.2005 ,"23,816,000 ", ,0
263,Kurt Schwitters,Ja - Was? - Bild,06.24.2014 ,"23,781,982 ", ,0
264,Cui Ruzhuo,Landscape in snow,04.07.2014 ,"23,725,710 ",+ frontispiece ,0
265,Andy Warhol,Marlon,11.14.2012 ,"23,714,500 ", ,1
266,Christopher Wool,If You,05.13.2014 ,"23,685,000 ", ,1
267,Jean-Michel Basquiat,Undiscovered genius of the Mississippi Delta,05.14.2014 ,"23,685,000 ", ,1
268,Roy Lichtenstein,Nude with Yellow Flower,05.15.2013 ,"23,643,750 ", ,0
269,Gustav Klimt,Schloss Kammer am Attersee II,10.09.1997 ,"23,562,388 ", ,1
270,Andy Warhol,Liz,11.13.2007 ,"23,561,000 ", ,1
271,Jeff Koons,Hanging Heart,11.14.2007 ,"23,561,000 ",Magenta/Gold ,0
272,Yves Klein,MG 9,05.14.2008 ,"23,561,000 ", ,0
273,Wu Guanzhong,Ten Thousand Miles of the Yangtze River,11.19.2011 ,"23,548,498 ", ,0
274,Lucian Freud,Naked Portrait with Reflection,06.30.2008 ,"23,548,214 ", ,1
275,Pierre-Auguste Renoir,Dans les Roses,05.06.2003 ,"23,528,000 ",Madame Léon Clapisson ,0
276,John Singer Sargent,Group with Parasols,12.01.2004 ,"23,528,000 ",A siesta ,0
277,Joan Miró,Painting,02.04.2015 ,"23,413,412 ","Women, Moon, Birds ",0
278,Lyonel Feininger,Jesuiten III,05.08.2007 ,"23,280,000 ",Jesuits III ,0
279,Zeng Fanzhi,The Last Supper,10.05.2013 ,"23,269,068 ", ,0
280,Jeff Koons,Cracked Egg,02.13.2014 ,"23,237,534 ",Magenta in 2 parts ,0
281,Paul Cézanne,Madame Cézanne au fauteuil jaune,05.12.1997 ,"23,102,500 ", ,0
282,Pablo Picasso,L′Aubade,11.02.2011 ,"23,042,500 ", ,0
283,Jackson Pollock,Number 28,05.08.2012 ,"23,042,500 ", ,0
284,Wassily Kandinsky,Studie für Improvisation 8,11.07.2012 ,"23,042,500 ", ,0
285,Wassily Kandinsky,Fugue,05.17.1990 ,"22,990,000 ", ,0
286,Pablo Picasso,Portrait de femme,05.06.2014 ,"22,565,000 ",Dora Maar ,0
287,Francis Bacon,Figure Turning,05.13.2014 ,"22,565,000 ", ,0
288,Norman Rockwell,The Rookie,05.22.2014 ,"22,565,000 ",Red Sox Locker Room ,0
289,,Untitled,11.12.2014 ,"22,565,000 ", ,0
290,Max Beckmann,Selbstbildnis mit Horn,05.10.2001 ,"22,555,750 ",Self-Portrait with Horn ,0
291,Andy Warhol,Three Self-portraits,02.27.2008 ,"22,550,242 ", ,0
292,Mark Rothko,Untitled,11.09.2010 ,"22,482,500 ", ,0
293,Claude Monet,Les Peupliers,05.04.2011 ,"22,482,500 ", ,1
294,Maurice de Vlaminck,Paysage de banlieue,05.04.2011 ,"22,482,500 ", ,1
295,Barnett Newman,Onement V,05.08.2012 ,"22,482,500 ", ,0
296,Henri Matisse,Portrait au manteau bleu,05.06.2008 ,"22,441,000 ", ,0
297,Mark Rothko,Untitled,05.16.2007 ,"22,440,000 ", ,0
298,Henri de Toulouse-Lautrec,La blanchisseuse,11.01.2005 ,"22,416,000 ", ,0
299,Mark Rothko,Homage to Matisse,11.08.2005 ,"22,416,000 ", ,0
300,Egon Schiele,Einzelne Häuser,11.08.2006 ,"22,416,000 ",Häuser mit Bergen recto; Monk I fragment; verso  ,0
301,Francis Bacon,Two studies for self-portrait,02.10.2015 ,"22,409,162 ", ,1
302,Fernand Léger,La femme en rouge et vert,11.04.2003 ,"22,407,500 ", ,0
303,Edward Burne-Jones,Love among the Ruins,07.11.2013 ,"22,115,900 ", ,0
304,Yves Klein,"Sculpture éponge bleue sans titre, SE 168",05.14.2013 ,"22,005,000 ", ,0
305,,"Abstraktes Bild, Dunkel",05.15.2013 ,"21,963,750 ",613-2 ,0
306,,Abstraktes Bild,05.08.2012 ,"21,810,500 ",798-3 ,0
307,Pablo Picasso,Jeune fille endormie,06.21.2011 ,"21,799,182 ", ,0
308,Egon Schiele,Herbstsonne,06.20.2006 ,"21,708,430 ", ,0
309,,Portrait de Paul éluard,02.10.2011 ,"21,685,938 ", ,1
310,Cy Twombly,Poems to the sea,11.13.2013 ,"21,669,000 ",in 24 parts ,0
311,Francis Bacon,Three Studies for a Self-Portrait,02.12.2013 ,"21,661,584 ",3 works ,1
312,Paul Gauguin,Deux femmes or La Chevelure fleurie,02.07.2006 ,"21,656,598 ", ,0
313,,Abstraktes Bild,11.11.2014 ,"21,445,000 ", ,0
314,Roy Lichtenstein,Reflections on the Prom,11.12.2014 ,"21,445,000 ", ,1
315,Yves Klein,Archisponge,11.11.2008 ,"21,362,500 ",Re11 ,0
316,Pablo Picasso,Femmes lisant,05.03.2011 ,"21,362,500 ",Deux personnages ,0
317,Pablo Picasso,"Les femmes d′Alger, version L",05.04.2011 ,"21,362,500 ", ,0
318,Mark Rothko,Black Stripe,11.14.2012 ,"21,362,500 ","Orange, Gold and Black ",1
319,Charles Willson Peale,George Washington at Princeton,01.21.2006 ,"21,296,000 ", ,0
320,Clyfford Still,1947-R-No. 1,11.15.2006 ,"21,296,000 ", ,0
321,Wassily Kandinsky,Studie zu Improvisation 3,06.18.2013 ,"21,216,846 ", ,1
322,Willem de Kooning,Untitled XXXI,05.13.2014 ,"21,165,000 ", ,0
323,Huang Zhou,Gaiety in the Grassland mounted,12.02.2013 ,"21,141,440 ", ,0
324,Egon Schiele,Krumauer Landschaft,06.23.2003 ,"21,064,050 ",Stadt und Fluss Krumau Landscape: Town and River ,0
325,Mark Rothko,No. 7,11.13.2007 ,"21,041,000 ",Dark Over Light ,1
326,Piet Mondrian,New York/Boogie Woogie,11.04.2004 ,"21,008,000 ", ,0
327,Edouard Manet,Jeune fille dans un jardin,11.09.2000 ,"20,905,750 ", ,0
328,Pierre-Auguste Renoir,Baigneuse,11.13.1997 ,"20,902,500 ", ,0
329,Clyfford Still,PH - 21,05.14.2013 ,"20,885,000 ", ,0
330,Jackson Pollock,The Blue Unconscious,05.14.2013 ,"20,885,000 ", ,0
331,Lucio Fontana,"Concetto spaziale, La fine di Dio",11.12.2013 ,"20,885,000 ", ,1
332,,Abstraktes Bild,11.12.2013 ,"20,885,000 ",809-1 ,1
333,Juan Gris,"Livre, pipe et verres",11.06.2008 ,"20,802,500 ", ,0
334,Alberto Giacometti,Le Chat,05.04.2010 ,"20,802,500 ", ,0
335,Henri Matisse,"Danseuse dans le fauteuil, sol en damier",11.02.2010 ,"20,802,500 ", ,1
336,,Abstraktes Bild,11.09.2011 ,"20,802,500 ", ,0
337,Willem de Kooning,Interchange,11.08.1989 ,"20,680,000 ", ,0
338,Barnett Newman,By twos,11.13.2013 ,"20,605,000 ", ,0
339,Andy Warhol,Big electric chair,05.14.2014 ,"20,437,000 ", ,0
340,Paul Cézanne,Vue sur L′Estaque et le Château d′If,02.04.2015 ,"20,375,704 ", ,0
341,Vincent van Gogh,Le pont de Trinquetaille,06.29.1987 ,"20,367,090 ", ,0
342,Vincent van Gogh,Le vieil If,11.14.1989 ,"20,350,000 ", ,0
343,Lucio Fontana,"Concetto Spaziale, La Fine di Dio",02.27.2008 ,"20,343,394 ", ,0
344,Andy Warhol,Liz #1,11.13.2013 ,"20,325,000 ",Early colored Liz ,0
345,Claude Monet,Sous les peupliers,11.04.2014 ,"20,325,000 ", ,0
346,Piet Mondrian,Composition No. II with Blue and Yellow,02.04.2014 ,"20,315,296 ", ,0
347,Andy Warhol,Sixteen Jackies,05.10.2011 ,"20,242,500 ",in 16 parts ,0
348,Piero Manzoni,Achrome,10.17.2014 ,"20,218,814 ", ,0
349,Franz Marc,Der Wasserfall,11.07.2007 ,"20,201,000 ",Frauen unter einem Wasserfall The Waterfall Women under a Waterfall ,1
350,Claude Monet,Nymphéas,06.24.2002 ,"20,182,110 ", ,0
351,Claude Monet,"Londres, le Parlement, effet de soleil dans le brouillard",11.03.2004 ,"20,167,500 ", ,0
352,Jean-Michel Basquiat,Untitled,06.27.2012 ,"20,162,318 ", ,1
353,Canaletto,"The Bucintoro at the Molo, Venice, on Ascension Day",07.06.2005 ,"20,084,328 ", ,0
354,Pablo Picasso,Le miroir,11.07.1995 ,"20,022,500 ", ,1
355,Cy Twombly,Untitled,02.12.2014 ,"20,012,930 ",Rome ,0
356,Wang Meng,Landscape,06.03.2010 ,"20,004,392 ", ,0
357,Pierre-Auguste Renoir,Jeune fille au chat,05.17.1990 ,"19,965,000 ", ,0
358,Willem de Kooning,Untitled XXIII,11.13.2007 ,"19,921,000 ", ,0
359,,Struktur,06.27.2012 ,"19,812,788 ",2 ,0
360,Vincent van Gogh,La Roubine du Roi,05.12.1999 ,"19,802,500 ", ,0
361,Fernand Léger,Les cylindres colorés,02.04.2014 ,"19,764,928 ", ,0
362,Francis Bacon,Self-portrait,11.09.2011 ,"19,682,500 ",3 studies ,0
363,Willem de Kooning,Abstraction,11.13.2012 ,"19,682,500 ", ,0
364,Li Keran,Shaoshan-revolutionary sacred place of Chairman Mao′s former residence,05.12.2012 ,"19,681,484 ", ,0
365,Francis Bacon,Study for Head of Lucian Freud,07.01.2014 ,"19,622,034 ", ,0
366,Lucian Freud,Ib and her Husband,11.13.2007 ,"19,361,000 ", ,0
367,Alberto Giacometti,L′homme qui chavire,11.04.2009 ,"19,346,500 ", ,0
368,,Seestück,05.08.2012 ,"19,346,500 ",Leicht bewölkt ,1
369,Damien Hirst,Lullaby Spring,06.21.2007 ,"19,213,272 ", ,0
370,Henri Matisse,La séance du matin,05.07.2014 ,"19,205,000 ", ,1
371,Pablo Picasso,La Grue,05.07.2008 ,"19,193,000 ", ,0
372,Willem de Kooning,Woman,05.15.2013 ,"19,163,750 ",Blue Eyes ,1
373,Edward Hopper,Blackwell′s Island,05.23.2013 ,"19,163,750 ", ,0
374,Amedeo Modigliani,Jeanne hébuterne,11.02.2010 ,"19,122,500 ",Au chapeau ,1
375,Paul Cézanne,Joueur de cartes,05.01.2012 ,"19,122,500 ", ,0
376,Henri Matisse,Les Pivoines,05.01.2012 ,"19,122,500 ", ,1
377,Willem de Kooning,Untitled I,05.16.2007 ,"19,080,000 ", ,0
378,Qian Weicheng,Yandang mountain,06.03.2010 ,"19,020,568 ", ,0
379,Auguste Rodin,"Eve, grand modèle-version sans rocher",05.06.2008 ,"18,969,000 ", ,1
380,Edgar Degas,Petite danseuse de quatorze ans,02.03.2009 ,"18,953,890 ", ,1
381,Paul Cézanne,Pichet et fruits sur une table,02.03.2010 ,"18,825,354 ", ,1
382,Claude Monet,Nymphéas,11.05.2002 ,"18,709,500 ", ,1
383,Pablo Picasso,Mere et enfant,11.15.1989 ,"18,700,000 ", ,0
384,,Untitled,05.12.2014 ,"18,645,000 ", ,0
385,Pablo Picasso,Les Femmes d′Alger,05.03.2005 ,"18,608,000 ",J ,0
386,Pablo Picasso,Portrait de Germaine,05.02.2006 ,"18,608,000 ", ,0
387,Alexej Jawlensky,Schokko,02.05.2008 ,"18,586,402 ",Schokko mit Tellerhut ,1
388,Alberto Giacometti,Trois hommes qui marchent I,06.25.2008 ,"18,585,730 ", ,1
389,Damien Hirst,The Golden Calf,09.15.2008 ,"18,566,620 ", ,0
390,Mark Rothko,White cloud,11.08.2011 ,"18,562,500 ", ,0
391,Alexander Calder,Lily of Force,05.08.2012 ,"18,562,500 ", ,0
392,Pablo Picasso,Tête et main de femme,05.09.2007 ,"18,520,000 ", ,1
393,Alberto Giacometti,L′homme qui chavire,05.09.2007 ,"18,520,000 ", ,1
394,Juan Gris,Le pot de geranium,05.09.2007 ,"18,520,000 ", ,1
395,Henri Matisse,Nu couché vu de dos,05.03.2006 ,"18,496,000 ", ,0
396,Piet Mondrian,Composition avec grille 2,02.23.2009 ,"18,472,162 ", ,0
397,Amedeo Modigliani,Portrait de Paul Alexandre,06.04.2014 ,"18,429,952 ", ,0
398,Andy Warhol,Silver Liz,05.11.2010 ,"18,338,500 ",diptych ,0
399,Constantin Brancusi,Danaïde,05.07.2002 ,"18,159,500 ", ,0
400,Pierre-Auguste Renoir,La tasse de chocalat,11.12.1990 ,"18,150,000 ", ,0
401,Roy Lichtenstein,Landscape with Figures,11.12.2014 ,"18,085,000 ", ,0
402,Peter Doig,Pine House,11.12.2014 ,"18,085,000 ",Rooms for Rent ,1
403,Chaïm Soutine,Le petit pâtissier,05.08.2013 ,"18,043,750 ", ,0
404,Pablo Picasso,Deux personnages,11.06.2008 ,"18,002,500 ",Marie-Thérèse et sa soeur lisant ,0
405,Pablo Picasso,Femme au chat assise dans un fauteuil,05.04.2010 ,"18,002,500 ", ,0
406,Gustave Caillebotte,Le Pont d′Argenteuil et la Seine,11.02.2011 ,"18,002,500 ", ,1
407,,Gudrun,11.09.2011 ,"18,002,500 ", ,1
408,Pablo Picasso,Le baiser,06.23.2010 ,"17,937,642 ", ,1
409,Bada Shanren,Mandarin ducks and bamboo,12.13.2010 ,"17,808,712 ", ,0
410,Claude Monet,"Les arceaux de roses, Giverny",06.18.2007 ,"17,750,766 ",Les arceaux fleuris  ,0
411,Thomas Moran,Green river of Wyoming,05.21.2008 ,"17,737,000 ", ,0
412,Wu Guanzhong,Lion woods,06.03.2011 ,"17,734,596 ", ,0
413,Amedeo Modigliani,Jeune homme roux assis,05.06.2014 ,"17,637,000 ", ,1
414,Clyfford Still,PH-1033,05.13.2014 ,"17,525,000 ", ,1
415,Willem de Kooning,Untitled XXIV,11.12.2014 ,"17,525,000 ", ,0
416,Henri Matisse,Odalisques jouant aux dames,06.22.2010 ,"17,509,514 ", ,0
417,Pierre-Auguste Renoir,La promenade,04.04.1989 ,"17,427,946 ", ,0
418,Francis Bacon,Three Studies of Isabel Rawsthorne,06.26.2013 ,"17,419,052 ", ,1
419,Paul Cézanne,Portrait de Vallier,11.06.2007 ,"17,401,000 ", ,0
420,Pablo Picasso,Le Baiser,05.07.2008 ,"17,401,000 ", ,0
421,Yves Klein,IKB 1,05.14.2008 ,"17,401,000 ", ,0
422,Jasper Johns,Figure 4,05.16.2007 ,"17,400,000 ", ,0
423,Andy Warhol,Self-portrait,02.16.2011 ,"17,387,926 ", ,0
424,Andy Warhol,Mao,11.15.2006 ,"17,376,000 ", ,0
425,Mark Rothko,No. 6,11.09.2004 ,"17,368,000 ","Yellow, White, Blue over Yellow on Gray ",0
426,Paul Cézanne,Portrait de Paul Cézanne,05.07.2003 ,"17,367,500 ", ,0
427,Andy Warhol,Orange Marilyn,05.14.1998 ,"17,327,500 ", ,0
428,Alberto Giacometti,Trois hommes qui marchent II,06.22.2011 ,"17,323,920 ", ,0
429,Pablo Picasso,Buste de Françoise,06.21.2011 ,"17,271,582 ", ,0
430,Chaïm Soutine,L′Homme au Foulard Rouge,02.05.2007 ,"17,219,550 ", ,1
431,Pablo Picasso,Femme à la fenêtre,11.08.2012 ,"17,218,500 ",Marie-Thérèse ,0
432,Wassily Kandinsky,Strandszene,05.06.2014 ,"17,189,000 ", ,0
433,Paul Cézanne,Pommes et serviette,11.27.1989 ,"17,176,764 ", ,0
434,Damien Hirst,The Kingdom,09.15.2008 ,"17,159,576 ", ,0
435,Joan Miró,La caresse des étoiles,05.06.2008 ,"17,065,000 ", ,1
436,Henri Matisse,La robe persane,11.09.2000 ,"17,055,750 ", ,0
437,Kasimir Severinovich Malevich,Suprematist Composition,05.11.2000 ,"17,052,500 ", ,0
438,Jasper Johns,False Start,11.10.1988 ,"17,050,000 ", ,0
439,Diego Rodriguez de Silva y Velasquez,Saint Rufina,07.04.2007 ,"16,983,140 ", ,1
440,Yves Klein,Rélief éponge bleu,05.14.2014 ,"16,965,000 ",RE 51 ,1
441,,Abstraktes Bild,11.12.2014 ,"16,965,000 ",774-4 ,0
442,Lucian Freud,Julie and Martin,11.12.2014 ,"16,965,000 ", ,0
443,Peter Doig,Gasthof,07.01.2014 ,"16,948,124 ", ,0
444,Pablo Picasso,Famille de l′Arlequin,11.14.1989 ,"16,940,000 ", ,0
445,Pablo Picasso,Composition,02.05.2014 ,"16,938,304 ",Composition au minotaure ,0
446,Francesco Guardi,"Venice, the Bacino di San Marco, with the Piazzetta and the Doge′s Palace",07.08.2014 ,"16,937,616 ", ,0
447,Jeff Koons,Balloon flower,11.10.2010 ,"16,882,500 ",Blue ,0
448,Titian (Tiziano Vecelli),A Sacra Conversazione: The Madonna and Child with Saints Luke and Catherine of Alexandria,01.27.2011 ,"16,882,500 ", ,0
449,Jeff Koons,Pink Panther,05.10.2011 ,"16,882,500 ", ,0
450,,Abstraktes Bild,05.09.2012 ,"16,882,500 ", ,0
451,Pablo Picasso,Homme à la pipe,11.06.2007 ,"16,841,000 ", ,1
452,Amedeo Modigliani,Jeune fille assise en chemise,11.06.2007 ,"16,841,000 ", ,1
453,Max Beckmann,Selbstbildnis mit Glaskugel,05.03.2005 ,"16,816,000 ",Self-Portrait with Crystal Ball ,0
454,Claude Monet,Le bassin aux nymphéas,05.06.2004 ,"16,808,000 ", ,0
455,Paul Cézanne,Pichet et assiette de poires,05.08.2002 ,"16,784,500 ", ,0
456,Cui Ruzhuo,100 works,10.05.2014 ,"16,726,588 ", ,0
457,Fernand Léger,Le moteur,11.06.2001 ,"16,726,000 ", ,0
458,Edgar Degas,Au Musée du Louvre,05.08.2002 ,"16,509,500 ",Miss Cassatt ,0
459,Paul Cézanne,Pichet de gres,11.11.1999 ,"16,502,500 ", ,0
460,Paul Cézanne,Fillette à la poupee,05.07.2001 ,"16,502,500 ", ,0
461,Edouard Manet,Le banc,05.15.1990 ,"16,500,000 ",le jardin de Versailles ,0
462,Sanyu,Five nudes,05.30.2011 ,"16,493,361 ", ,0
463,Claude Monet,La plage à Trouville,06.27.2000 ,"16,469,840 ", ,1
464,Francis Bacon,"Study from the Human Body, Man Turning on the Light",10.14.2007 ,"16,465,701 ", ,0
465,,Kerze,10.14.2011 ,"16,451,346 ",Candle ,0
466,Roy Lichtenstein,Sunrise,11.12.2014 ,"16,405,000 ", ,0
467,Mark Rothko,No 9,05.14.2003 ,"16,359,500 ",White and Black on Wine ,0
468,Marc Chagall,Anniversaire,05.17.1990 ,"16,335,000 ", ,0
469,Juan Gris,Le livre,02.07.2012 ,"16,334,115 ", ,0
470,Max Ernst,The stolen mirror,11.01.2011 ,"16,322,500 ", ,0
