,Artist,Name,date,price,comments,repeat_sale
928,Wassily Kandinsky,Studie für Herbstlandschaft mit Booten,06.19.2013 ,"9,955,595 ",Study for autumn landscape with boats ,0
929,Cui Ruzhuo,Snowy Mountains,05.28.2013 ,"9,937,272 ",set of 8 ,1
930,Joan Miró,Femme,02.06.2013 ,"9,930,742 ",Femme debout ,0
931,Alberto Giacometti,Stèle III,11.05.2014 ,"9,909,000 ", ,0
932,Claude Monet,Nymphéas,05.09.2001 ,"9,906,000 ", ,0
933,Bruce Nauman,Henry Moore bound to fail,05.17.2001 ,"9,906,000 ",Back view ,0
934,Egon Schiele,Haut mit trockender Wäsche,11.05.2001 ,"9,906,000 ", ,0
935,Pablo Picasso,Compotier et guitare,05.10.2000 ,"9,905,750 ", ,1
936,Amedeo Modigliani,Portrait de Jeanne Hébuterne assise dans un fauteuil,11.16.1998 ,"9,902,500 ", ,0
937,Vincent van Gogh,Paysage au soleil levant,04.24.1985 ,"9,900,000 ", ,0
938,Marc Chagall,Au Dessus de la ville,05.15.1990 ,"9,900,000 ", ,0
939,Fernand Léger,Les Maisons sous les Arbres,11.14.1990 ,"9,900,000 ", ,0
940,Jean-Michel Basquiat,Untitled,11.13.2007 ,"9,897,000 ",Black Figure ,0
941,Joan Miró,Projet pour un monument,05.09.2007 ,"9,896,000 ", ,0
942,Peter Doig,Red boat,06.28.2011 ,"9,895,335 ",Imaginary boys ,0
943,Pablo Picasso,Le Repos,05.01.2012 ,"9,882,500 ",Marie-Thérèse Walter ,1
944,Clyfford Still,1948-H,11.13.2012 ,"9,882,500 ", ,0
945,Jean-Michel Basquiat,Grillo,06.22.2007 ,"9,857,406 ", ,0
946,Pablo Picasso,Famille d′arlequin,05.08.2007 ,"9,840,000 ", ,0
947,Donald Judd,"Untitled, 1977",05.16.2007 ,"9,840,000 ",77-41 BERNSTEIN ,0
948,Xu Beihong,Riding a donkey in spring,06.03.2010 ,"9,838,225 ", ,0
949,Henri Matisse,Nu à la chaise longue,06.23.2010 ,"9,826,927 ", ,0
950,Andy Warhol,Four Campbell′s soup cans,11.08.2011 ,"9,826,500 ", ,0
951,,Abstract Painting,11.14.2007 ,"9,785,000 ",596 ,0
